operation,batch_size,gas_used,fraction_of_block_limit,changed_storage_slot_count,storage_change_upper_bound_bytes,sample_size,claim_disposition,origin,run_id,uncertainty
AUDIT_RECORD_DA,1,5414,0.000005042180418968201,1,32,15,SUPPORTED,FOUNDRY_MEASUREMENT,publication-e7-foundry-v1,N/A_single_measurement
AUDIT_RECORD_RESULT,1,5654,0.0000052656978368759155,1,32,15,SUPPORTED,FOUNDRY_MEASUREMENT,publication-e7-foundry-v1,N/A_single_measurement
OPEN_CHALLENGE,1,5962,0.000005552545189857483,1,32,15,SUPPORTED,FOUNDRY_MEASUREMENT,publication-e7-foundry-v1,N/A_single_measurement
RECEIPT_SLASH,1,6964,0.000006485730409622192,1,32,15,SUPPORTED,FOUNDRY_MEASUREMENT,publication-e7-foundry-v1,N/A_single_measurement
RECEIPT_MARK_CHALLENGED,1,7252,0.00000675395131111145,1,32,15,SUPPORTED,FOUNDRY_MEASUREMENT,publication-e7-foundry-v1,N/A_single_measurement
COMMIT_RESPONSE,1,259344,0.00024153292179107666,11,352,15,SUPPORTED,FOUNDRY_MEASUREMENT,publication-e7-foundry-v1,N/A_single_measurement
RECEIPT_ACTIVATE,1,59959,0.000055841170251369476,3,96,15,SUPPORTED,FOUNDRY_MEASUREMENT,publication-e7-foundry-v1,N/A_single_measurement
MODEL_REGISTER,1,94342,0.00008786283433437347,4,128,15,SUPPORTED,FOUNDRY_MEASUREMENT,publication-e7-foundry-v1,N/A_single_measurement
CREDIT_ALLOCATE,1,104774,0.00009757839143276215,4,128,15,SUPPORTED,FOUNDRY_MEASUREMENT,publication-e7-foundry-v1,N/A_single_measurement
AUDIT_OPEN,1,126504,0.0001178160309791565,5,160,15,SUPPORTED,FOUNDRY_MEASUREMENT,publication-e7-foundry-v1,N/A_single_measurement
TASK_CREATE,1,121420,0.0001130811870098114,6,192,15,SUPPORTED,FOUNDRY_MEASUREMENT,publication-e7-foundry-v1,N/A_single_measurement
RECEIPT_MINT_PENDING,1,172718,0.00016085617244243622,8,256,15,SUPPORTED,FOUNDRY_MEASUREMENT,publication-e7-foundry-v1,N/A_single_measurement
CREDIT_ALLOCATE,2,156656,0.0001458972692489624,6,192,15,SUPPORTED,FOUNDRY_MEASUREMENT,publication-e7-foundry-v1,N/A_single_measurement
CREDIT_ALLOCATE,4,260426,0.0002425406128168106,10,320,15,SUPPORTED,FOUNDRY_MEASUREMENT,publication-e7-foundry-v1,N/A_single_measurement
CREDIT_ALLOCATE,8,467937,0.00043580029159784317,18,576,15,SUPPORTED,FOUNDRY_MEASUREMENT,publication-e7-foundry-v1,N/A_single_measurement
