ablation,attacker_active_weight_micros,attacker_active_weight_share,attacker_seat_threshold_probability_ge_one_third,attacker_seat_threshold_probability_ge_two_thirds,attacker_weight_threshold_probability_ge_one_third,attacker_weight_threshold_probability_ge_two_thirds,claim_disposition,config_hash,estimated_attacker_cost_micros,max_operator_weight_share,origin,role,run_id,sample_size,sampling_disposition,scenario_id,source_hashes,total_active_weight_micros,uncertainty
CHURN,90,0.333333,0.65625,0,0.65625,0,INCONCLUSIVE,2d76a145b8131227e7bedd66c6507af95249926cbdae352b14a5003df0eab49e,1900000.000000,0.333333,REPRODUCIBLE_SIMULATION,SUPPORT,run-e8-publication-v1,10,COMMITTEE_SAMPLED,support-receipt-churn,406ebbe759efd318b1894167b1cf547684cab866ec27fc8b23bb71f1d95986d7|5009bf85d3f0314ca340e61c9a3ade8dea2558b992013572830f56178be1aafd,270,N/A
COLLATERAL_RICH_ZERO_CREDIT,0,0,0,0,0,0,INCONCLUSIVE,2d76a145b8131227e7bedd66c6507af95249926cbdae352b14a5003df0eab49e,9000700000.000000,0.5,REPRODUCIBLE_SIMULATION,BOUNDARY,run-e8-publication-v1,10,COMMITTEE_SAMPLED,boundary-zero-credit-rich,406ebbe759efd318b1894167b1cf547684cab866ec27fc8b23bb71f1d95986d7|5009bf85d3f0314ca340e61c9a3ade8dea2558b992013572830f56178be1aafd,180,N/A
COLLUSION,180,0.5,0.875,0.203125,0.875,0.203125,INCONCLUSIVE,2d76a145b8131227e7bedd66c6507af95249926cbdae352b14a5003df0eab49e,3650000.000000,0.25,REPRODUCIBLE_SIMULATION,SUPPORT,run-e8-publication-v1,10,COMMITTEE_SAMPLED,support-collusion-bounded,406ebbe759efd318b1894167b1cf547684cab866ec27fc8b23bb71f1d95986d7|5009bf85d3f0314ca340e61c9a3ade8dea2558b992013572830f56178be1aafd,360,N/A
CONCENTRATION_CAP_REMOVED,300,0.625,0.929688,0,0.929688,0.929688,INCONCLUSIVE,2d76a145b8131227e7bedd66c6507af95249926cbdae352b14a5003df0eab49e,9700000.000000,0.625,REPRODUCIBLE_SIMULATION,NEGATIVE_CONTROL,run-e8-publication-v1,10,COMMITTEE_SAMPLED,negative-cap-removed,406ebbe759efd318b1894167b1cf547684cab866ec27fc8b23bb71f1d95986d7|5009bf85d3f0314ca340e61c9a3ade8dea2558b992013572830f56178be1aafd,480,N/A
HIGH_COMPUTE,120,0.4,0.742188,0,0.742188,0,INCONCLUSIVE,2d76a145b8131227e7bedd66c6507af95249926cbdae352b14a5003df0eab49e,9700000.000000,0.4,REPRODUCIBLE_SIMULATION,SUPPORT,run-e8-publication-v1,10,COMMITTEE_SAMPLED,support-high-compute-capped,406ebbe759efd318b1894167b1cf547684cab866ec27fc8b23bb71f1d95986d7|5009bf85d3f0314ca340e61c9a3ade8dea2558b992013572830f56178be1aafd,300,N/A
MISSING_RECEIPTS,0,0,,,,,INCONCLUSIVE,2d76a145b8131227e7bedd66c6507af95249926cbdae352b14a5003df0eab49e,1900000.000000,0,REPRODUCIBLE_SIMULATION,BOUNDARY,run-e8-publication-v1,10,ZERO_TOTAL_WEIGHT,boundary-pending-only,406ebbe759efd318b1894167b1cf547684cab866ec27fc8b23bb71f1d95986d7|5009bf85d3f0314ca340e61c9a3ade8dea2558b992013572830f56178be1aafd,0,N/A
MISSING_RECEIPTS,0,0,,,,,INCONCLUSIVE,2d76a145b8131227e7bedd66c6507af95249926cbdae352b14a5003df0eab49e,1900000.000000,0,REPRODUCIBLE_SIMULATION,BOUNDARY,run-e8-publication-v1,10,ZERO_TOTAL_WEIGHT,boundary-zero-total-weight,406ebbe759efd318b1894167b1cf547684cab866ec27fc8b23bb71f1d95986d7|5009bf85d3f0314ca340e61c9a3ade8dea2558b992013572830f56178be1aafd,0,N/A
NONE,90,0.333333,0.617188,0,0.617188,0,INCONCLUSIVE,2d76a145b8131227e7bedd66c6507af95249926cbdae352b14a5003df0eab49e,1900000.000000,0.333333,REPRODUCIBLE_SIMULATION,SUPPORT,run-e8-publication-v1,10,COMMITTEE_SAMPLED,support-honest-baseline,406ebbe759efd318b1894167b1cf547684cab866ec27fc8b23bb71f1d95986d7|5009bf85d3f0314ca340e61c9a3ade8dea2558b992013572830f56178be1aafd,270,N/A
SUBSIDIZED_COMPUTE,120,0.4,0.753906,0,0.753906,0,INCONCLUSIVE,2d76a145b8131227e7bedd66c6507af95249926cbdae352b14a5003df0eab49e,1400000.000000,0.4,REPRODUCIBLE_SIMULATION,SUPPORT,run-e8-publication-v1,10,COMMITTEE_SAMPLED,support-subsidized-compute,406ebbe759efd318b1894167b1cf547684cab866ec27fc8b23bb71f1d95986d7|5009bf85d3f0314ca340e61c9a3ade8dea2558b992013572830f56178be1aafd,300,N/A
SYBIL_SPLIT,120,0.4,0.726563,0,0.726563,0,INCONCLUSIVE,2d76a145b8131227e7bedd66c6507af95249926cbdae352b14a5003df0eab49e,1900000.000000,0.4,REPRODUCIBLE_SIMULATION,SUPPORT,run-e8-publication-v1,10,COMMITTEE_SAMPLED,support-sybil-split,406ebbe759efd318b1894167b1cf547684cab866ec27fc8b23bb71f1d95986d7|5009bf85d3f0314ca340e61c9a3ade8dea2558b992013572830f56178be1aafd,300,N/A
